code,name,sector_theme,technical_score,fundamental_score,valuation_score,capital_flow_score,news_risk_score,sector_heat_score,total_score,rank
000063,中兴通讯,AI算力,81.0,50.0,50.0,50.0,55.0,85.0,65.0,1
300308,中际旭创,AI算力,81.0,50.0,50.0,50.0,55.0,85.0,65.0,2
600584,长电科技,存储芯片,81.0,50.0,50.0,50.0,55.0,85.0,65.0,3
600406,国电南瑞,AI算力,81.0,50.0,50.0,50.0,55.0,85.0,65.0,4
603986,兆易创新,存储芯片,81.0,50.0,50.0,42.0,55.0,85.0,64.2,5
300223,北京君正,存储芯片,81.0,50.0,50.0,42.0,55.0,85.0,64.2,6
002371,北方华创,先进封装,81.0,50.0,50.0,50.0,55.0,80.0,64.0,7
600905,三峡能源,能源电力,81.0,50.0,50.0,50.0,55.0,80.0,64.0,8
300750,宁德时代,能源电力,81.0,50.0,50.0,50.0,55.0,80.0,64.0,9
002156,通富微电,先进封装,81.0,50.0,50.0,42.0,55.0,80.0,63.2,10
688008,澜起科技,存储芯片,69.0,50.0,50.0,42.0,55.0,85.0,61.2,11
688041,海光信息,AI算力,45.0,50.0,50.0,50.0,55.0,85.0,56.0,12
