code,name,sector_theme,technical_score,fundamental_score,valuation_score,capital_flow_score,news_risk_score,sector_heat_score,total_score,available_factor_count,missing_factor_count,score_confidence,missing_factors,rank
300223,北京君正,存储芯片,67.1,81.0,55.0,62.0,61.0,85.0,71.53,6,0,高,[],1
603986,兆易创新,存储芯片,61.1,100.0,45.0,50.0,25.0,85.0,70.28,6,0,高,[],2
688008,澜起科技,存储芯片,55.1,100.0,35.0,50.0,57.0,85.0,68.88,6,0,高,[],3
002156,通富微电,先进封装,68.1,73.0,55.0,50.0,29.0,80.0,65.97,6,0,高,[],4
300308,中际旭创,AI算力,,100.0,,,46.0,85.0,65.0,3,3,低,"['valuation_score', 'technical_score', 'capital_flow_score']",5
600584,长电科技,存储芯片,61.1,61.0,45.0,50.0,57.0,85.0,62.12,6,0,高,[],6
002371,北方华创,先进封装,63.1,62.0,45.0,50.0,57.0,80.0,61.88,6,0,高,[],7
600905,三峡能源,能源电力,47.3,,,50.0,57.0,80.0,59.46,4,2,低,"['fundamental_score', 'valuation_score']",8
688041,海光信息,AI算力,34.7,81.0,35.0,50.0,57.0,85.0,59.02,6,0,高,[],9
000063,中兴通讯,AI算力,68.4,14.0,71.0,62.0,61.0,85.0,57.5,6,0,高,[],10
300750,宁德时代,能源电力,38.1,,,50.0,54.0,80.0,55.37,4,2,低,"['fundamental_score', 'valuation_score']",11
600406,国电南瑞,AI算力,23.6,,,50.0,57.0,85.0,51.25,4,2,低,"['fundamental_score', 'valuation_score']",12
